[15-Aug-2015 21:44:47 Asia/Calcutta] PHP Warning:  move_uploaded_file(/e63969aede68e970ca814dff7406a23c_Screenshotfrom2015-08-1520:34:42.png): failed to open stream: Permission denied in /home/saurabh/net/library/media.class.php on line 223
[15-Aug-2015 21:44:47 Asia/Calcutta] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpPOx81r' to '/e63969aede68e970ca814dff7406a23c_Screenshotfrom2015-08-1520:34:42.png' in /home/saurabh/net/library/media.class.php on line 223
[15-Aug-2015 21:49:04 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[15-Aug-2015 21:49:04 Asia/Calcutta] PHP Warning:  move_uploaded_file(/b2052210b4037e3fdf308f70831bc8ed_Screenshotfrom2015-08-1520:34:42.png): failed to open stream: Permission denied in /home/saurabh/net/library/media.class.php on line 223
[15-Aug-2015 21:49:04 Asia/Calcutta] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpPFqANa' to '/b2052210b4037e3fdf308f70831bc8ed_Screenshotfrom2015-08-1520:34:42.png' in /home/saurabh/net/library/media.class.php on line 223
[15-Aug-2015 21:50:10 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[15-Aug-2015 21:50:23 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[15-Aug-2015 21:50:45 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[15-Aug-2015 21:53:35 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 15:34:30 Asia/Calcutta] PHP Notice:  Undefined index: username in /home/saurabh/net/application/controllers/adminscontroller.php on line 70
[30-Aug-2015 15:34:30 Asia/Calcutta] PHP Notice:  Undefined index: password in /home/saurabh/net/application/controllers/adminscontroller.php on line 71
[30-Aug-2015 15:35:45 Asia/Calcutta] PHP Notice:  Undefined variable: title in /home/saurabh/net/application/views/admins/header.php on line 5
[30-Aug-2015 15:35:45 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/application/views/admins/removeslide.php): failed to open stream: No such file or directory in /home/saurabh/net/library/template.class.php on line 73
[30-Aug-2015 15:35:45 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/application/views/admins/removeslide.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/library/template.class.php on line 73
[30-Aug-2015 15:46:43 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 16:54:39 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 16:55:04 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 16:57:18 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 19:40:21 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 19:55:30 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 19:58:23 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 19:59:13 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 20:01:08 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[30-Aug-2015 20:07:51 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[03-Sep-2015 16:23:25 Asia/Calcutta] PHP Notice:  Undefined index: username in /home/saurabh/net/application/controllers/adminscontroller.php on line 70
[03-Sep-2015 16:23:25 Asia/Calcutta] PHP Notice:  Undefined index: password in /home/saurabh/net/application/controllers/adminscontroller.php on line 71
[03-Sep-2015 16:23:30 Asia/Calcutta] PHP Notice:  Undefined variable: title in /home/saurabh/net/application/views/admins/header.php on line 5
[03-Sep-2015 16:23:30 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/application/views/admins/.php): failed to open stream: No such file or directory in /home/saurabh/net/library/template.class.php on line 73
[03-Sep-2015 16:23:30 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/application/views/admins/.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/library/template.class.php on line 73
[03-Sep-2015 16:24:02 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[07-Sep-2015 10:03:35 Asia/Calcutta] PHP Notice:  Undefined offset: 0 in /home/saurabh/net/library/shared.php on line 97
[11-Sep-2015 17:00:16 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
[11-Sep-2015 17:00:31 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/library/security,php): failed to open stream: No such file or directory in /home/saurabh/net/application/controllers/programscontroller.php on line 9
[11-Sep-2015 17:00:31 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/library/security,php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/application/controllers/programscontroller.php on line 9
[11-Sep-2015 17:00:31 Asia/Calcutta] PHP Fatal error:  Call to undefined function sqlSafe() in /home/saurabh/net/application/controllers/programscontroller.php on line 15
[11-Sep-2015 17:01:18 Asia/Calcutta] PHP Notice:  Undefined index: pages_title in /home/saurabh/net/application/controllers/programscontroller.php on line 17
[11-Sep-2015 17:01:18 Asia/Calcutta] PHP Notice:  Undefined index: pages_description in /home/saurabh/net/application/views/programs/view.php on line 4
[11-Sep-2015 17:01:18 Asia/Calcutta] PHP Notice:  Undefined index: pages_image in /home/saurabh/net/application/views/programs/view.php on line 10
[11-Sep-2015 17:01:20 Asia/Calcutta] PHP Notice:  Undefined index: pages_title in /home/saurabh/net/application/controllers/programscontroller.php on line 17
[11-Sep-2015 17:01:20 Asia/Calcutta] PHP Notice:  Undefined index: pages_description in /home/saurabh/net/application/views/programs/view.php on line 4
[11-Sep-2015 17:01:20 Asia/Calcutta] PHP Notice:  Undefined index: pages_image in /home/saurabh/net/application/views/programs/view.php on line 10
[11-Sep-2015 17:01:20 Asia/Calcutta] PHP Notice:  Undefined index: pages_title in /home/saurabh/net/application/controllers/programscontroller.php on line 17
[11-Sep-2015 17:01:20 Asia/Calcutta] PHP Notice:  Undefined index: pages_description in /home/saurabh/net/application/views/programs/view.php on line 4
[11-Sep-2015 17:01:20 Asia/Calcutta] PHP Notice:  Undefined index: pages_image in /home/saurabh/net/application/views/programs/view.php on line 10
[11-Sep-2015 17:01:21 Asia/Calcutta] PHP Notice:  Undefined index: pages_title in /home/saurabh/net/application/controllers/programscontroller.php on line 17
[11-Sep-2015 17:01:21 Asia/Calcutta] PHP Notice:  Undefined index: pages_description in /home/saurabh/net/application/views/programs/view.php on line 4
[11-Sep-2015 17:01:21 Asia/Calcutta] PHP Notice:  Undefined index: pages_image in /home/saurabh/net/application/views/programs/view.php on line 10
[11-Sep-2015 17:01:21 Asia/Calcutta] PHP Notice:  Undefined index: pages_title in /home/saurabh/net/application/controllers/programscontroller.php on line 17
[11-Sep-2015 17:01:21 Asia/Calcutta] PHP Notice:  Undefined index: pages_description in /home/saurabh/net/application/views/programs/view.php on line 4
[11-Sep-2015 17:01:21 Asia/Calcutta] PHP Notice:  Undefined index: pages_image in /home/saurabh/net/application/views/programs/view.php on line 10
